No,Category,Seller ~ Barang,Terjual,Price,Omzet
14,elektronik,pusatmp4~sewing-machine-s2-fhsm-202-gt-202-mesin-jahit-mini,682,165000,112530000
15,elektronik,grosirecer~stick-touch-lamp-stick-and-click-lampu-mini-portabel-emergency-lampu-mobil-lemari-indoor-darurat-reseller-barang-unik-elektro,3800,6500,24700000
16,elektronik,ninjazi~baterai-recharge-ultrafire-18650,3200,8000,25600000
17,elektronik,vaping~e-liquid-refill-rokok-elektrik-e-liquid,6500,10500,68250000
18,elektronik,grosirecer~lampu-proyektor-bintang-bulan-putar-musik-star-beauty-master-barang-unik-china-reseller-dropship-grosir-ecer-projector-murah,924,41000,37884000
19,elektronik,dbestcompushop~pen-kamera-tanpa-memori,665,130000,86450000
20,elektronik,grosirecer~lampu-tidur-proyektor-star-master-bulan-bintang-love-romance-helo-kity,799,39000,31161000
21,elektronik,ayamjago~timbangan-dapur-sf-400,672,54000,36288000
22,elektronik,palugada~pq15-digital-pen-alquran,737,315000,232155000
23,elektronik,ramayanagrosir~engrave-it-alat-pulpen-ukir-elektrik,762,40000,30480000
24,elektronik,tokosentermurah~mikroskop-batu-cincin-mini-kaca-pembesar-60x-zoom-dengan-lampu-led,1200,23500,28200000
25,elektronik,grosirecer~alarm-anti-maling-pencuri-jendela-kaca-pintu-rumah-toko-gudang-keamanan-barang-produk-unik-reseller,3200,5000,16000000
